"","Host","baseMean","estimate","stderror","statistic","p.value","p.adjusted"
"1","CRr3G3H3I__bin_97",39042.2313062526,-1.18156917575286,0.281123045187174,18.79631385557,8.28766725730495e-05,0.000249182528869636
"2","MGr2D2E2F__bin_102",9155.74601925494,5.24723123199924,0.441492957655536,101.285088449781,1.01443095618418e-22,7.62513935398442e-21
"3","MGr2D2E2F__bin_107",73.8936462190485,1.07091312804468,0.420198116045058,8.38662090171324,0.0150962267445175,0.0252143760796971
"4","BOr1A1B1C__bin_57",312879.113915276,-2.06741823376347,0.779162313417511,6.89837926817981,0.0317713723859664,0.0482454173268378
"5","LASYr2D2E2F__bin_2",36536.3358124655,-3.11963495297408,0.64919479851556,22.9201058896418,1.05429523515313e-05,4.17093992152685e-05
"6","SEr3G3H3I__bin_90",10859.6897738394,0.893945129600132,0.538625443831043,9.79337474054034,0.00747129174614169,0.0138096417111062
"7","CRr1A1B1C__bin_138",64233.8123994264,-2.01026393098855,0.534887019300729,13.2628120535758,0.00131830820566845,0.00288619903279841
"8","LABRr1A1B1C__bin_32",1779.17337574813,0.844112909126054,0.502060882816436,26.8891494597763,1.44909007950457e-06,6.6687716924139e-06
"9","SEr3G3H3I__bin_216",12878.0514070918,6.43051205068539,0.662473920147899,61.2349744516651,5.04654613726848e-14,1.03454195814004e-12
"10","BAr1A1B1C__bin_108",34131.0887194813,-3.26760072250468,0.572832884932723,29.8502340502047,3.29688678878743e-07,1.77011421636087e-06
"11","SEr2D2E2F__bin_135",207310.773614116,3.23135487252022,0.591576669372206,28.3929653791794,6.83196928942534e-07,3.34915016253351e-06
"12","MGr1A1B1C__bin_104",1021.13044138992,-1.10216718983092,0.330237465754225,10.9791639420734,0.0041295700933932,0.00813290878655167
"13","BAr2D2E2F__bin_44",131157.018654988,-2.76891712289024,1.02498361595674,9.34467003248736,0.00935041065576184,0.0167342666894785
"14","MGr3G3H3I__bin_125",7017.8372041995,2.30469454800585,0.642021634898243,19.5364062142469,5.72431194447728e-05,0.000180535992095053
"15","BOr1A1B1C__bin_20",70721.4062076169,1.29705603394157,0.541534576851631,8.74073147733048,0.0126466143662083,0.0219671995995397
"16","BAr2D2E2F__bin_2",25334.8638190321,-2.27021864702847,0.305564094110455,74.2230561125664,7.63252350041724e-17,2.29484539912545e-15
"17","MHr2D2E2F__bin_49",2837.87056816044,-0.695064559284352,0.207880753505481,11.1455119108062,0.00379999337602313,0.00758317262206385
"18","BOr2D2E2F__bin_32",87462.9425754471,2.60848517226886,0.821644329925648,9.0684134978469,0.0107354197330499,0.0190075942882811
"19","BAr2D2E2F__bin_37",299796.523791104,-3.25869804875573,0.565679089138851,27.9171326393299,8.66705738562052e-07,4.11457145359459e-06
"20","LABRr1A1B1C__bin_19",739.788403323271,-0.473434820723985,0.205391470224829,7.90521835065432,0.019204528366657,0.03115554781785
"21","MHr2D2E2F__bin_75",4140.18648209714,2.98257486146488,0.545369721195647,34.2332423500654,3.68422270647124e-08,2.47997677704258e-07
"22","LAWAr2D2E2F__bin_155",45935.1521390421,-1.72435676016745,0.452443499656176,15.1002507601689,0.000526044167518998,0.00131075093674623
"23","SEr2D2E2F__bin_145",7060.79556949451,1.49579807913914,0.463053312896741,30.0456140419639,2.99004557564299e-07,1.66482784520369e-06
"24","CRr2D2E2F__bin_61",6670.95723203911,1.92438744501429,0.467058746729798,19.4221252999233,6.06092734140643e-05,0.000188515740067193
"25","SEr3G3H3I__bin_180",255647.212913083,2.86649347112925,0.385997067322462,49.7860613059343,1.54558946753113e-11,1.99160242816155e-10
"26","LABRr1A1B1C__bin_86",1002.68229683163,1.68164046252061,0.46091987427831,13.4594022211304,0.00119489004478392,0.00264164416763504
"27","SEr3G3H3I__bin_84",3066.39162297703,5.06380531524169,0.604064440946583,58.8779080013104,1.63992778653725e-13,2.9584297269132e-12
"28","MHr2D2E2F__bin_102",976.624872992011,-1.67446257574421,0.26826098682183,46.7634413915805,7.00563851632275e-11,7.70620236795502e-10
"29","BAr1A1B1C__bin_60",7780.72311217309,-0.432152269634811,0.387825969572029,14.6677923579247,0.000653024324523786,0.0015856735464605
"30","LAWAr2D2E2F__bin_98",43212.3861564506,-1.8257836840276,0.417354854600102,18.8230429735665,8.17764308915632e-05,0.000247524633101309
"31","BAr1A1B1C__bin_67",3768.6651610374,-0.882824943112242,0.240825885798546,13.8859243451007,0.000965405659372443,0.00220293094447633
"32","MHr2D2E2F__bin_126",48511.167825963,-1.7996357296662,0.32007855886697,37.1843753019938,8.42394449543971e-09,6.22819502859559e-08
"33","MGr1A1B1C__bin_132",1240.624844721,0.595891286700882,0.225350537921091,9.94486160193848,0.00692629111997637,0.0130156553962889
"34","LABRr1A1B1C__bin_96",3058.22715214532,3.74954071479788,0.744218776747405,25.2556028001714,3.27955964194556e-06,1.408648950969e-05
"35","CRr3G3H3I__bin_43",57139.430356524,-1.42270845675615,0.252482990814072,31.8480201332364,1.214200195032e-07,7.0205677943517e-07
